experiment,block,n_factors,factor,ss_loadings,prop_variance_explained,cum_variance_explained,prop_common_variance
Experiment 2 (0325),trust,4,Factor 2,0.0459162997488453,0.011479074937211325,0.342172669007045,0.03354760907854678
Experiment 2 (0325),trust,4,Factor 3,0.0,0.0,0.342172669007045,0.0
Experiment 2 (0325),trust,4,Factor 4,0.0,0.0,0.342172669007045,0.0
Experiment 3 (0318/0319/0322),interaction,1,Factor 1,4.616301237506381,0.5129223597229312,0.5129223597229312,1.0
Experiment 3 (0318/0319/0322),interaction,2,Factor 1,4.679511529485578,0.5199457254983976,0.5199457254983976,0.8815869005983747
Experiment 3 (0318/0319/0322),interaction,2,Factor 2,0.6285432139655462,0.06983813488506069,0.5897838603834582,0.11841309940162523
Experiment 3 (0318/0319/0322),interaction,3,Factor 1,4.728603905138104,0.5254004339042337,0.5254004339042337,0.8385118833585171
Experiment 3 (0318/0319/0322),interaction,3,Factor 2,0.6345862805317144,0.07050958672574605,0.5959100206299798,0.11252964890206497
Experiment 3 (0318/0319/0322),interaction,3,Factor 3,0.2760905436604361,0.03067672707338179,0.6265867477033615,0.048958467739417866
Experiment 3 (0318/0319/0322),interaction,4,Factor 1,4.736889879568705,0.526321097729856,0.526321097729856,0.7996776098823561
Experiment 3 (0318/0319/0322),interaction,4,Factor 2,0.693867436538625,0.077096381837625,0.603417479567481,0.11713809426300749
Experiment 3 (0318/0319/0322),interaction,4,Factor 3,0.32698005674775926,0.036331117416417695,0.6397485969838987,0.05520048743101729
Experiment 3 (0318/0319/0322),interaction,4,Factor 4,0.1657620737100944,0.01841800819001049,0.6581666051739092,0.027983808423619198
Experiment 3 (0318/0319/0322),trust,1,Factor 1,1.8471189677661581,0.46177974194153953,0.46177974194153953,1.0
Experiment 3 (0318/0319/0322),trust,2,Factor 1,1.9244506406605872,0.4811126601651468,0.4811126601651468,0.805795130568389
Experiment 3 (0318/0319/0322),trust,2,Factor 2,0.4638122907660705,0.11595307269151763,0.5970657328566644,0.19420486943161097
Experiment 3 (0318/0319/0322),trust,3,Factor 1,1.925832337940351,0.48145808448508776,0.48145808448508776,0.8040174872596642
Experiment 3 (0318/0319/0322),trust,3,Factor 2,0.46528005581763887,0.11632001395440972,0.5977780984394975,0.19425019197186266
Experiment 3 (0318/0319/0322),trust,3,Factor 3,0.00414936168488345,0.0010373404212208625,0.5988154388607183,0.0017323207684732777
Experiment 3 (0318/0319/0322),trust,4,Factor 1,1.7693154930916664,0.4423288732729166,0.4423288732729166,0.9083691943809052
Experiment 3 (0318/0319/0322),trust,4,Factor 2,0.17847787554798136,0.04461946888699534,0.48694834215991195,0.09163080561909477
Experiment 3 (0318/0319/0322),trust,4,Factor 3,0.0,0.0,0.48694834215991195,0.0
Experiment 3 (0318/0319/0322),trust,4,Factor 4,0.0,0.0,0.48694834215991195,0.0
